Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
1,PRZEDSZKOLE NR 131,Przedszkole,Unused,Unclassified,Warszawa,ul. Sierpecka,9A,,01-589,20.97738741636805,52.2699179,publiczna,109.0,,,
4,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 310,Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Brożka,17,,01-451,20.93820015,52.2417422,publiczna,128.0,,,
6,PRZEDSZKOLE NR 135,Przedszkole,Unused,Unclassified,Warszawa,ul. Emanuela Ringelbluma,1,,01-410,20.950492638647944,52.2447435,publiczna,75.0,,,
8,"PRZEDSZKOLE NR 93 ""BAŚNIOWY DWOREK NA KOLE",Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Brożka,5,,01-451,20.942835758819506,52.24288815,publiczna,95.0,,,
10,PRZEDSZKOLE NR 234,Przedszkole,Unused,Unclassified,Warszawa,ul. Ożarowska,59,,01-416,20.954534447210342,52.2461132,publiczna,73.0,,,
12,PRZEDSZKOLE NR 212,Przedszkole,Unused,Unclassified,Warszawa,ul. Czesława Ludwika Rybińskiego,2,,01-611,20.98641021146732,52.2723527,publiczna,172.0,,,
13,SZKOŁA PODSTAWOWA SPECJALNA NR 302 W OŚRODKU TERAPII DZIECKA W ŚRODOWISKU,Szkoła podstawowa,Ordinary,Elementary,Warszawa,ul. Jana Sobieskiego,93,,00-763,21.0394438,52.1961443,publiczna,9.0,,,
19,SZKOŁA PODSTAWOWA NR 92 IM. JANA BRZECHWY,Szkoła podstawowa,Ordinary,Elementary,Warszawa,ul. Przasnyska,18A,,01-756,20.96462256668724,52.26479435,publiczna,735.0,,,
20,PRZEDSZKOLE NR 269,Przedszkole,Unused,Unclassified,Warszawa,ul. Smocza,22,,01-034,20.984858210762717,52.24760155,publiczna,142.0,,,
21,PRZEDSZKOLE NR 273,Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Olbrachta,28,,01-111,20.94105374014161,52.2376117,publiczna,146.0,,,
23,BRANŻOWA SZKOŁA FOTOTECHNICZNA I STOPNIA,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. Spokojna,13,,01-044,20.977386290844052,52.25148795,publiczna,105.0,73.2,120.05,89.13
24,LXXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MICHAŁA KONARSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Warszawa,ul. Okopowa,55a,,01-043,20.976764827445482,52.24836835,publiczna,320.0,82.03333333333333,147.4333333333333,103.52666666666666
25,PRZEDSZKOLE NR 116,Przedszkole,Unused,Unclassified,Warszawa,ul. Okopowa,31,,01-059,20.97637229164759,52.2415373,publiczna,89.0,,,
26,BRANŻOWA SZKOŁA I STOPNIA NR 57,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. Marcina Kasprzaka,19/21,,01-211,20.970137614160983,52.22822155,publiczna,0.0,,,
30,XXXIII LICEUM OGÓLNOKSZTAŁCĄCE DWUJĘZYCZNE IM. MIKOŁAJA KOPERNIKA,Liceum ogólnokształcące,Ordinary,Middle,Warszawa,ul. Józefa Bema,76,,01-225,20.960058697331398,52.2309609,publiczna,883.0,181.12,203.78833333333333,190.27
31,PRZEDSZKOLE NR 289,Przedszkole,Unused,Unclassified,Warszawa,ul. Twarda,60A,,00-818,20.992419308682827,52.22889,publiczna,145.0,,,
33,BRANŻOWA SZKOŁA I STOPNIA NR 6 IM. MICHAŁA KONARSKIEGO,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. Okopowa,55a,,01-043,20.976764827445482,52.24836835,publiczna,100.0,19.05,65.45,45.28
36,BRANŻOWA SZKOŁA ELEKTRONICZNA I STOPNIA NR 2,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. gen. Józefa Zajączka,7,,01-518,20.9920787,52.2609868,publiczna,0.0,,,
37,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 288,Przedszkole,Unused,Unclassified,Warszawa,ul. Elbląska,63A,,01-737,20.96126205,52.265490850000006,publiczna,112.0,,,
38,PRZEDSZKOLE NR 134,Przedszkole,Unused,Unclassified,Warszawa,ul. Leszno,24/26A,,01-192,20.976811233329123,52.23857750000001,publiczna,126.0,,,
40,BRANŻOWA SZKOŁA SAMOCHODOWA I STOPNIA NR 1,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,al. Jana Pawła II,69,,01-038,21.2227145,52.2192725,publiczna,131.0,18.95,80.65,47.24
41,PRZEDSZKOLE NR 132,Przedszkole,Unused,Unclassified,Warszawa,ul. Śmiała,20,,01-523,20.99482926686536,52.2632388,publiczna,91.0,,,
48,TECHNIKUM SAMOCHODOWE NR 2 IM. CZESŁAWA ORŁOWSKIEGO,Technikum,Ordinary,Middle,Warszawa,al. Jana Pawła II,69,,01-038,21.2227145,52.2192725,publiczna,682.0,38.48,120.31,77.30199999999998
49,PRZEDSZKOLE NR 96,Przedszkole,Unused,Unclassified,Warszawa,ul. Stanisława Wyspiańskiego,5,,01-577,20.979471148674914,52.2645921,publiczna,161.0,,,
50,PRZEDSZKOLE NR 403,Przedszkole,Unused,Unclassified,Warszawa,ul. Góralska,1,,01-112,20.93847933859228,52.23685265,publiczna,142.0,,,
51,CXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KILIŃSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Warszawa,ul. Alojzego Felińskiego,13,,01-513,20.98742268814863,52.2609784,publiczna,370.0,83.16666666666667,141.6,105.34
52,BRANŻOWA SZKOŁA RZEMIOSŁ ARTYSTYCZNYCH I STOPNIA NR 65,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. Alojzego Felińskiego,13,,01-513,20.98742268814863,52.2609784,publiczna,67.0,,,
54,PRZEDSZKOLE NR 320,Przedszkole,Unused,Unclassified,Bemowo,ul. Cokołowa,2,,01-384,20.91042127179944,52.22593845,publiczna,112.0,,,
55,PRZEDSZKOLE NR 406,Przedszkole,Unused,Unclassified,Bemowo,ul. Juliusza Kaden-Bandrowskiego,8,,01-494,20.92543146341479,52.24956185,publiczna,66.0,,,
56,PRZEDSZKOLE NR 216,Przedszkole,Unused,Unclassified,Bemowo,ul. Michała Elwira Andriollego,1,,01-494,20.928002018624085,52.2514451,publiczna,279.0,,,
57,"PUBLICZNE PRZEDSZKOLE ""MAŁA AWANGARDA",Przedszkole,Unused,Unclassified,Bemowo,ul. Jerzego Waldorffa,41c,,01-494,20.94137385601425,52.2555666,publiczna,98.0,,,
58,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 82 IM. JANA PAWŁA II,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Górczewska,201,,01-459,20.918669621008465,52.24090015,publiczna,1245.0,,,
59,PRZEDSZKOLE NR 336,Przedszkole,Unused,Unclassified,Bemowo,ul. Siemiatycka,2,,01-312,20.902873821891607,52.22379995,publiczna,119.0,,,
60,"PRZEDSZKOLE ""MAŁY EUROPEJCZYK",Przedszkole,Unused,Unclassified,Bemowo,ul. Okrętowa,57/59,,01-309,20.9051987,52.2267369,niepubliczna,71.0,,,
61,PRZEDSZKOLE NR 205,Przedszkole,Unused,Unclassified,Bemowo,ul. Karola Irzykowskiego,1,,01-317,20.904320989321192,52.2309143,publiczna,121.0,,,
63,"PRZEDSZKOLE NIEPUBLICZNE ""WESOŁY MIŚ",Przedszkole,Unused,Unclassified,Bemowo,ul. Batalionów Chłopskich,84a,,01-309,20.89095743754737,52.23240895,niepubliczna,64.0,,,
64,PRZEDSZKOLE PUBLICZNE EUROPEJSKIE I,Przedszkole,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,3,U02,01-381,20.9160859,52.2213478,publiczna,138.0,,,
65,PRZEDSZKOLE NR 415 IM. AKADEMII PANA KLEKSA,Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,23,112,01-494,20.9329996085963,52.25578760000001,publiczna,150.0,,,
66,PRESTO SZKOŁA MUZYCZNA I ST. W WARSZAWIE,Szkoła muzyczna I stopnia,Unused,Unclassified,Bemowo,ul. Oławska,3,,01-494,20.925518994069396,52.25918935,niepubliczna,22.0,,,
67,TERAPEUTYCZNY PUNKT PRZEDSZKOLNY KLEKS,Punkt przedszkolny,Unused,Unclassified,Bemowo,ul. Górczewska,228,83,01-460,20.89981993478395,52.24001005,niepubliczna,0.0,,,
68,"PRZEDSZKOLE PUBLICZNE ""JAK U MAMY",Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,38,5,01-494,20.9325778,52.2576907,publiczna,28.0,,,
69,"OŚRODEK SZKOLENIA FIRMY ""BIHIP",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Karola Miarki,7A,2,01-496,20.9198504,52.2627699,niepubliczna,,,,
70,"NIEPUBLICZNY TERAPEUTYCZNY PUNKT PRZEDSZKOLNY ""QPSYCHE KIDS",Punkt przedszkolny,Unused,Unclassified,Bemowo,ul. Lazurowa,183,90,01-479,20.897163657616534,52.24708425,niepubliczna,15.0,,,
71,PRZEDSZKOLE NR 435,Przedszkole,Unused,Unclassified,Bemowo,ul. gen. Tadeusza Pełczyńskiego,24,,01-471,20.90350344719789,52.24228955,publiczna,262.0,,,
72,PRZEDSZKOLE LEŚNE,Przedszkole,Unused,Unclassified,Bemowo,ul. Stanisława Kunickiego,49,,01-492,20.898739522098122,52.26016655,niepubliczna,42.0,,,
74,PRZEDSZKOLE NR 222,Przedszkole,Unused,Unclassified,Bemowo,ul. Kazimierza Wyki,17,,01-318,20.89977293432312,52.2295789,publiczna,125.0,,,
75,PRZEDSZKOLA POMARAŃCZOWA CIUCHCIA SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,Przedszkole,Unused,Unclassified,Bemowo,ul. gen. Sylwestra Kaliskiego,23B,,01-476,20.894697530310584,52.25405575,niepubliczna,108.0,,,
76,"NIEPUBLICZNE PRZEDSZKOLE ""MAŁE ZUCHY",Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,23/110-111,,01-494,20.9329989,52.2557842,niepubliczna,34.0,,,
77,SZKOŁA PODSTAWOWA NR 363 IM. PROF. WITOLDA DOROSZEWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Rozłogi,10,,01-310,20.9003683,52.2240139,publiczna,631.0,,,
78,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 341 IM. TWÓRCÓW LITERATURY DZIECIĘCEJ,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Oławska,3,,01-494,20.925518994069396,52.25918935,publiczna,1135.0,,,
79,PRZEDSZKOLE NIEPUBLICZNE DZWONECZEK,Przedszkole,Unused,Unclassified,Bemowo,ul. Batalionów Chłopskich,87,87,01-307,20.889755067526465,52.23151655,niepubliczna,22.0,,,
80,OŚRODEK SZKOLEŃ BHP - ALFA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Rozłogi,10,,01-310,20.9003683,52.2240139,niepubliczna,,,,
81,SZKOŁA PODSTAWOWA NR 150 IM. WALEREGO WRÓBLEWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. gen. Wiktora Thomméego,1,,01-491,20.9015209,52.2611811,publiczna,805.0,,,
82,"PRYWATNE PRZEDSZKOLE ""JAK U MAMY",Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,38,5,01-494,20.9325778,52.2576907,niepubliczna,0.0,,,
83,"STUDIUM BODYGUARDÓW I DETEKTYWÓW ""SULIMA SECURITY",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Kartezjusza,2,,00-980,20.8952968,52.2506318,niepubliczna,,,,
84,SZKOŁA PODSTAWOWA NR 364 IM. KONSTANCJI MARKIEWICZ,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Michała Elwira Andriollego,1,,01-494,20.928002018624085,52.2514451,publiczna,429.0,,,
85,SZKOŁA PODSTAWOWA NR 362 IM. PROF. TADEUSZA KOTARBIŃSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. gen. Waleriana Czumy,8,,01-355,20.91051661750245,52.23551415,publiczna,753.0,,,
86,LXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII PAWLIKOWSKIEJ-JASNORZEWSKIEJ,Liceum ogólnokształcące,Ordinary,Middle,Bemowo,ul. Anieli Krzywoń,3,,01-391,20.918545915711693,52.22690045,publiczna,766.0,120.88,155.63500000000005,133.94799999999998
87,NIEPUBLICZNE PRZEDSZKOLE DZIECIĘCY KĄCIK WARSZAWA BEMOWO,Przedszkole,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,106D,203,01-466,20.919582050356922,52.25503075,niepubliczna,23.0,,,
89,POLSKA AKADEMIA SPORTU,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Michała Elwira Andriollego,1,,01-494,20.928002018624085,52.2514451,niepubliczna,,,,
90,PUBLICZNE PRZEDSZKOLE INTEGRACYJNE BAJKA,Przedszkole,Unused,Unclassified,Bemowo,ul. Gustawa Morcinka,14B,,01-494,20.92050489069974,52.2587466,publiczna,35.0,,,
91,PRZEDSZKOLE NR 319,Przedszkole,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,14,,01-381,20.91867296741841,52.22621624999999,publiczna,185.0,,,
92,"PRZEDSZKOLE ""DZIECI ŚWIATA",Przedszkole,Unused,Unclassified,Bemowo,ul. Dywizjonu 303,125,,01-470,20.907420144701,52.24632075,niepubliczna,84.0,,,
93,"PRZEDSZKOLE ""JAN PAWEŁEK",Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,48,,01-494,20.93025555,52.25499575,niepubliczna,11.0,,,
94,"PRZEDSZKOLE PUBLICZNE ""NASZE ANANASY",Przedszkole,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,9,,01-381,20.9157514,52.2247724,publiczna,157.0,,,
95,NIEPUBLICZNA SZKOŁA PODSTAWOWA GAUDEAMUS,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Lazurowa,67,,01-314,20.89572041706188,52.22873395000001,niepubliczna,246.0,,,
97,PRZEDSZKOLE NR 215,Przedszkole,Unused,Unclassified,Bemowo,ul. Eugeniusza Szwankowskiego,3,,01-318,20.89992415,52.23334129999999,publiczna,112.0,,,
98,PRZEDSZKOLE NIEPUBLICZNE NORLANDIA,Przedszkole,Unused,Unclassified,Bemowo,ul. Strąkowa,26,,01-367,20.92204151933753,52.232264,niepubliczna,54.0,,,
99,PRZEDSZKOLE NR 381,Przedszkole,Unused,Unclassified,Bemowo,ul. Stanisława Szobera,1/3,,01-318,20.90119340304959,52.23579355,publiczna,268.0,,,
100,PRZEDSZKOLA POMARAŃCZOWA CIUCHCIA SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,Przedszkole,Unused,Unclassified,Bemowo,ul. Lazurowa,67,,01-314,20.89572041706188,52.22873395000001,niepubliczna,61.0,,,
103,SZKOŁA PODSTAWOWA NR 350,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Karola Irzykowskiego,1a,,01-317,20.90351957087013,52.23057525,publiczna,1317.0,,,
104,SZKOŁA PODSTAWOWA NR 306 IM. KS. JANA TWARDOWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Tkaczy,27,,01-346,20.90631921279055,52.22302745,publiczna,702.0,,,
105,PRZEDSZKOLE NR 75,Przedszkole,Unused,Unclassified,Bemowo,ul. Rozłogi,4a,,01-310,20.902162437881863,52.2222372,publiczna,125.0,,,
106,WOJSKOWE OGÓLNOKSZTAŁCĄCE LICEUM INFORMATYCZNE,Liceum ogólnokształcące,Ordinary,Middle,Bemowo,ul. gen. Sylwestra Kaliskiego,25A,,00-908,20.89510000155752,52.25516295,publiczna,101.0,,,
108,"PRZEDSZKOLE NIEPUBLICZNE ""KANGUREK HOP",Przedszkole,Unused,Unclassified,Bemowo,ul. Kluczborska,2,,02-464,20.9230718453373,52.2424045,niepubliczna,118.0,,,
110,PRZEDSZKOLE NR 371,Przedszkole,Unused,Unclassified,Bemowo,ul. Stanisława Lencewicza,5,,01-493,20.917887834243103,52.25408875,publiczna,74.0,,,
112,PRZEDSZKOLE NR 417,Przedszkole,Unused,Unclassified,Bemowo,ul. Muszlowa,17,,01-357,20.9123294,52.2343733,publiczna,145.0,,,
113,SZKOŁA PODSTAWOWA NR 316 IM. ASTRID LINDGREN,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Stanisława Szobera,1/3,,01-318,20.90119340304959,52.23579355,publiczna,991.0,,,
114,PUNKT PRZEDSZKOLNY MALI EKOLODZY,Punkt przedszkolny,Unused,Unclassified,Bemowo,ul. gen. Ludomiła Rayskiego,9,u4-u5,01-307,20.890517046894,52.22818705,niepubliczna,19.0,,,
115,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 345,Przedszkole,Unused,Unclassified,Bemowo,ul. Brygadzistów,18,,01-384,20.913265563281875,52.22572105,publiczna,88.0,,,
116,ACADEMY OF INTERNATIONAL SPORT EDUCATION,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,11,,01-494,20.939075606560305,52.25985365,niepubliczna,,,,
117,"NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""ZIELONY LATAWIEC",Przedszkole,Unused,Unclassified,Bemowo,ul. Andrzeja Sołtana,3,,01-494,20.924270084864297,52.2557982,niepubliczna,72.0,,,
118,EUROPEJSKA AKADEMIA REFLEKSOLOGII,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,5A,,01-381,20.916491068134714,52.22333475,niepubliczna,,,,
119,SZKOŁA PODSTAWOWA NR 24 SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Powstańców Śląskich,67a,,01-355,20.91080147461746,52.2342176,niepubliczna,380.0,,,
120,"ARTYSTYCZNO-JĘZYKOWE ""SUPER PRZEDSZKOLE",Przedszkole,Unused,Unclassified,Bemowo,ul. Edmunda Jana Osmańczyka,22,161,01-494,20.9317673,52.2603396,niepubliczna,12.0,,,
122,PRZEDSZKOLE NR 337,Przedszkole,Unused,Unclassified,Bemowo,ul. Reżyserska,19,,01-386,20.90736465,52.2262578,publiczna,115.0,,,
123,"PRZEDSZKOLE PUBLICZNE ""MIŚ KRZYŚ",Przedszkole,Unused,Unclassified,Bemowo,ul. Gen. Witolda Urbanowicza,31,,01-476,20.896280332640664,52.2575657,publiczna,252.0,,,
124,"PRZEDSZKOLE ""PUCHATEK",Przedszkole,Unused,Unclassified,Bemowo,ul. gen. Tadeusza Pełczyńskiego,28B,,01-471,20.90179953709302,52.243269,niepubliczna,77.0,,,
125,"PUNKT PRZEDSZKOLNY ""PTASIE RADIO",Punkt przedszkolny,Unused,Unclassified,Bemowo,ul. Gottfrieda Leibniza,1,,01-481,20.89002822927757,52.25393785,niepubliczna,17.0,,,
126,LICEUM NIEPUBLICZNE OGÓLNOKSZTAŁCĄCE FUNDACJI AMICUS,Liceum ogólnokształcące,Ordinary,Middle,Bemowo,ul. Powązkowska,90,,01-728,20.951080946585396,52.26190825000001,niepubliczna,18.0,,,
128,"NIEPUBLICZNE PRZEDSZKOLE ""ŻYRAFKI",Przedszkole,Unused,Unclassified,Bemowo,ul. Obrońców Tobruku,38,U2,01-494,20.9325778,52.2576907,niepubliczna,14.0,,,
129,"NIEPUBLICZNE PRZEDSZKOLE ""JAŚKOWO",Przedszkole,Unused,Unclassified,Bemowo,ul. Dywizjonu 303,169,,01-470,20.900794512921795,52.2462043,niepubliczna,0.0,,,
130,"NIEPUBLICZNE PRZEDSZKOLE ""NASZ DOMEK",Przedszkole,Unused,Unclassified,Bemowo,ul. Oświatowa,29,,01-366,20.919761183832385,52.23284335,niepubliczna,19.0,,,
131,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 301 IM. JANUSZA KORCZAKA,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Brygadzistów,18,,01-384,20.913265563281875,52.22572105,publiczna,823.0,,,
132,PRZEDSZKOLE NR 390,Przedszkole,Unused,Unclassified,Bemowo,ul. Secemińska,1,,01-495,20.917762546389035,52.24886415,publiczna,141.0,,,
133,PRZEDSZKOLE NR 214 IM. JANINY KRZEMIŃSKIEJ,Przedszkole,Unused,Unclassified,Bemowo,ul. gen. Waleriana Czumy,6,,01-355,20.91143136775402,52.2361604,publiczna,238.0,,,
134,PRZEDSZKOLE NR 402,Przedszkole,Unused,Unclassified,Bemowo,ul. Rosy Bailly,11,,01-494,20.927123441949547,52.25082805,publiczna,59.0,,,
135,PUNKT PRZEDSZKOLNY STO ŚWIATÓW DZIECKA,Punkt przedszkolny,Unused,Unclassified,Bemowo,ul. Isaaca Newtona,23,,01-482,20.89039975,52.25652935,niepubliczna,56.0,,,
136,SZKOŁA PODSTAWOWA NR 357,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. Zachodzącego Słońca,25,,01-495,20.9164536897514,52.25985775,publiczna,1339.0,,,
137,"NIEPUBLICZNE PRZEDSZKOLE ""AKACJOWA CHATKA",Przedszkole,Unused,Unclassified,Bemowo,ul. Sternicza,97,,01-350,20.9089102,52.22170120000001,niepubliczna,42.0,,,
138,SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE NR 99 SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W WARSZAWIE,Liceum ogólnokształcące,Ordinary,Middle,Bemowo,ul. Powstańców Śląskich,67a,,01-355,20.91080147461746,52.2342176,niepubliczna,61.0,,,
139,PRZEDSZKOLE NR 98,Przedszkole,Unused,Unclassified,Bemowo,ul. Legendy,12,,01-361,20.90944439768758,52.23205245,publiczna,125.0,,,
140,"PRZEDSZKOLE NIEPUBLICZNE ""MIŚ OPTYMIŚ",Przedszkole,Unused,Unclassified,Bemowo,ul. Powstańców Śląskich,67B,,01-355,20.910284050696333,52.2341598,niepubliczna,53.0,,,
142,PRZEDSZKOLE NR 389,Przedszkole,Unused,Unclassified,Bemowo,ul. ppłk. Wacława Szadkowskiego,3,,01-493,20.920434351631343,52.2519451,publiczna,131.0,,,
143,SZKOŁA PODSTAWOWA NR 321,Szkoła podstawowa,Ordinary,Elementary,Bemowo,ul. ppłk. Wacława Szadkowskiego,3,,01-493,20.920434351631343,52.2519451,publiczna,1021.0,,,
144,PRZEDSZKOLE PUBLICZNE EDULICA 2,Przedszkole,Unused,Unclassified,Bemowo,ul. Szeligowska,53,lu1,01-320,20.88578948667105,52.22680155,publiczna,245.0,,,
145,"PUBLICZNE PRZEDSZKOLE ""WESOŁY MIŚ",Przedszkole,Unused,Unclassified,Bemowo,ul. Batalionów Chłopskich,84a,,01-309,20.89095743754737,52.23240895,publiczna,76.0,,,
146,NIEPUBLICZNE SPORTOWO-JĘZYKOWE PRZEDSZKOLE FAIR PLAY,Przedszkole,Unused,Unclassified,Bemowo,ul. Lazurowa,89,u5,01-479,20.896170689790228,52.2352606,niepubliczna,10.0,,,
147,PUBLICZNE PRZEDSZKOLE JAŚKOWO,Przedszkole,Unused,Unclassified,Bemowo,ul. Dywizjonu 303,169,,01-381,20.900794512921795,52.2462043,publiczna,25.0,,,
148,NIEPUBLICZNY PUNKT PRZEDSZKOLNY EDUMALUCH,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Ruskowy Bród,61,,03-289,21.0534525,52.3525924,niepubliczna,0.0,,,
149,SZKOŁA PODSTAWOWA NR 314 IM.PRZYJACIÓŁ ZIEMI,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Porajów,3,,03-188,20.959658606413537,52.31501925,publiczna,1071.0,,,
150,EGURROLA DANCE STUDIO TARCHOMIN PLACÓWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Światowida,17,,03-144,20.966839421804817,52.3174284,niepubliczna,,,,
151,"PRZEDSZKOLE NIEPUBLICZNE ""SMERF 1",Przedszkole,Unused,Unclassified,Białołęka,ul. Świderska,143,,03-128,20.941773755487013,52.32016775,niepubliczna,99.0,,,
154,"NIEPUBLICZNE PRZEDSZKOLE ""BAJLANDIA",Przedszkole,Unused,Unclassified,Białołęka,ul. Białołęcka,186,,03-253,21.0306,52.31082935000001,niepubliczna,104.0,,,
156,PRZEDSZKOLE NR 431,Przedszkole,Unused,Unclassified,Białołęka,ul. Kartograficzna,6,,03-290,21.06864494554241,52.3111945,publiczna,154.0,,,
157,"PRZEDSZKOLE NIEPUBLICZNE ""MIASTO DZIECI",Przedszkole,Unused,Unclassified,Białołęka,ul. Głębocka,56D,,03-289,21.067278700000006,52.3101016,niepubliczna,48.0,,,
158,"PRZEDSZKOLE NIEPUBLICZNE ""PROGRESJA",Przedszkole,Unused,Unclassified,Białołęka,ul. Pasłęcka,1B,,03-185,20.950667565138968,52.33015965,niepubliczna,77.0,,,
159,STUDIO MUZYCZNE ARTE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Józefa Mehoffera,164G,,01-081,20.9934954,52.3535865,niepubliczna,,,,
160,PRZEDSZKOLE NIEPUBLICZNE KRASNOLUDKI,Przedszkole,Unused,Unclassified,Białołęka,ul. Nowodworska,30,,03-133,20.9393235328125,52.32268515,niepubliczna,55.0,,,
161,"PRZEDSZKOLE PUBLICZNE ""OŁÓWKOWA KRAINA",Przedszkole,Unused,Unclassified,Białołęka,ul. Ołówkowa,7a,,03-001,20.99118605,52.33952845,publiczna,72.0,,,
162,PUNKT PRZEDSZKOLNY WONDERLAND,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Zręby,7,,03-104,20.96274235,52.33232995,niepubliczna,18.0,,,
164,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 342 IM.JANA MARCINA SZANCERA,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Strumykowa,21A,,03-138,20.943588180185785,52.3310574,publiczna,924.0,,,
165,"NIEPUBLICZNE PRZEDSZKOLE ""MIŚ",Przedszkole,Unused,Unclassified,Białołęka,ul. Topolowa,6A,,03-138,20.947317544642857,52.32954495,niepubliczna,66.0,,,
166,PRZEDSZKOLA POMARAŃCZOWA CIUCHCIA SP. Z O.O. SPÓŁKA KOMANDYTOWA,Przedszkole,Unused,Unclassified,Białołęka,ul. Brzozowy Zagajnik,7,,03-082,20.980866881800466,52.34885495,niepubliczna,25.0,,,
167,"MULTICENTRUM EDUKACYJNO-ROZWOJOWE ""ZDOBYWCY ŚWIATA",Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Aluzyjna,18b,,03-149,20.944248763566037,52.34535915,niepubliczna,0.0,,,
168,NIEPUBLICZNE PRZEDSZKOLE MAŁEGO KOPERNIKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Zaułek,25,,03-287,21.065210390322573,52.3269244,niepubliczna,101.0,,,
169,PRZEDSZKOLE NIEPUBLICZNE TEQUESTA,Przedszkole,Unused,Unclassified,Białołęka,ul. Zdziarska,61,,03-289,21.058430087726464,52.34138395,niepubliczna,46.0,,,
