Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
699,PRZEDSZKOLE NR 325,Przedszkole,Unused,Unclassified,Mokotów,ul. Kaspijska,5,,02-760,21.048361845769087,52.17957765,publiczna,123.0,,,
700,PRZEDSZKOLE NR 270,Przedszkole,Unused,Unclassified,Mokotów,ul. Bełdan,5,,02-695,21.00939108667137,52.1726225,publiczna,47.0,,,
701,BRANŻOWA SZKOŁA I STOPNIA NR 4,Branżowa szkoła I stopnia,Ordinary,Middle,Mokotów,ul. Kazimierzowska,60,,02-543,21.014167562148387,52.20551105,publiczna,85.0,23.116666666666664,89.38333333333333,50.53333333333333
702,"PRZEDSZKOLE NIEPUBLICZNE ""CHATKA MAŁOLATKA",Przedszkole,Unused,Unclassified,Mokotów,ul. Orężna,45,,02-937,21.05899332686455,52.1814462,niepubliczna,65.0,,,
703,XLIX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. JOHANNA WOLFGANGA GOETHEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Fryderyka Joliot-Curie,14,,02-646,21.01085858822821,52.19040575,publiczna,557.0,157.89166666666662,177.90833333333333,165.1783333333333
704,"TERAPEUTYCZNY PUNKT PRZEDSZKOLNY ""DOŚWIADCZANIE ŚWIATA",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Pilicka,21,,02-613,21.018616338381552,52.1927184,niepubliczna,4.0,,,
705,"NIEPUBLICZNE EUROPEJSKIE PRZEDSZKOLE EKOLOGICZNE ""BABY CITY",Przedszkole,Unused,Unclassified,Mokotów,ul. Zielona,42,,02-913,21.066234,52.1859819,niepubliczna,147.0,,,
706,SZKOŁA PODSTAWOWA NR 307 IM. KRÓLA JANA III SOBIESKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Barcelońska,8,,02-762,21.0556261,52.1765703,publiczna,811.0,,,
708,"INTEGRACYJNE PRZEDSZKOLE NIEPUBLICZNE ""MAŁE MISIE",Przedszkole,Unused,Unclassified,Mokotów,ul. Antoniego Józefa Madalińskiego,39,43,02-549,21.013794803125734,52.2037093,niepubliczna,53.0,,,
711,SZKOŁA PODSTAWOWA NR 191 IM. JÓZEFA IGNACEGO KRASZEWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bokserska,30,,02-682,21.005868937335137,52.16833695,publiczna,439.0,,,
712,PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE SIÓSTR NAZARETANEK Z ODDZIAŁAMI MIĘDZYNARODOWYMI,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Czerniakowska,137,,00-720,21.046966887254907,52.21041395,niepubliczna,176.0,,,
713,PRYWATNA SZKOŁA PODSTAWOWA IM. JEANA MONNETA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Stępińska,13,,00-739,21.03748697103178,52.20385475000001,niepubliczna,181.0,,,
714,SZKOŁA PODSTAWOWA NR 371 IM. SANDRO PERTINIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Jana III Sobieskiego,68,,02-930,21.0557102,52.1849713,publiczna,169.0,,,
715,AKADEMIA MŁODYCH TALENTÓW NIEPUBLICZNE PRZEDSZKOLE,Przedszkole,Unused,Unclassified,Mokotów,ul. Cybernetyki,21,,02-677,20.98848092164431,52.17687279999999,niepubliczna,16.0,,,
716,"FRANCUSKO-POLSKIE PRZEDSZKOLE NIEPUBLICZNE ""LA FONTAINE"" - PUNKT PRZEDSZKOLNY",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Rolna,177,,02-729,21.0264865,52.17650310000001,niepubliczna,0.0,,,
717,MIĘDZYNARODOWE PRZEDSZKOLE MISIA PADDINGTONA,Przedszkole,Unused,Unclassified,Mokotów,ul. Górska,7,,00-740,21.0357326,52.2029133,niepubliczna,26.0,,,
718,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. IM. ZENONA BRZEWSKIEGO W WARSZAWIE,Ogólnokształcąca szkoła muzyczna II stopnia,Special,Middle,Mokotów,ul. Rakowiecka,21,,02-517,21.016093816476342,52.20855015,publiczna,63.0,,,
719,SZKOŁA PODSTAWOWA ZAKONU PIJARÓW IM. O. ONUFREGO KOPCZYŃSKIEGO W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Gwintowa,3,,00-704,21.083030118115946,52.20779455,publiczna,527.0,,,
720,SKILL MED,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Maltańska,6,15,02-761,21.051695499999997,52.17837165,niepubliczna,,,,
721,PRZEDSZKOLE NR 28,Przedszkole,Unused,Unclassified,Mokotów,ul. Adama Naruszewicza,15,,02-627,21.0203165748417,52.19100305,publiczna,74.0,,,
722,PRZEDSZKOLE INTEGRACYJNE NR 45,Przedszkole,Unused,Unclassified,Mokotów,ul. Teofila Lenartowicza,4,,02-618,21.021537848321664,52.1935141,publiczna,56.0,,,
