symbol,nazwa,typ
I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,PKDMainSection
55,ZAKWATEROWANIE,PKDMainDivision
56,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM,PKDMainDivision
J,INFORMACJA I KOMUNIKACJA,PKDMainSection
58,DZIAŁALNOŚĆ WYDAWNICZA,PKDMainDivision
59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH",PKDMainDivision
60,NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH,PKDMainDivision
61,TELEKOMUNIKACJA,PKDMainDivision
62,DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIAŁALNOŚĆ POWIĄZANA,PKDMainDivision
63,DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI,PKDMainDivision
K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,PKDMainSection
64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZÓW EMERYTALNYCH",PKDMainDivision
65,"UBEZPIECZENIA, REASEKURACJA ORAZ FUNDUSZE EMERYTALNE, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO",PKDMainDivision
66,DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE,PKDMainDivision
L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,PKDMainSection
68,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,PKDMainDivision
M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",PKDMainSection
69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE",PKDMainDivision
